,시도,군구,관광지,내/외국인,총계(2022.01 ~ 2022.12),인원계,2022년 01월,2022년 02월,2022년 03월,2022년 04월,2022년 05월,2022년 06월,2022년 07월,2022년 08월,2022년 09월,2022년 10월,2022년 11월,2022년 12월
86,강원특별자치도,강릉시,커피박물관,내국인,16287,16287,700.0,1370.0,830.0,821.0,1655.0,2071.0,1440.0,1990.0,1070.0,1533.0,1161.0,1646.0
87,강원특별자치도,강릉시,통일공원,내국인,43082,43082,1896.0,2981.0,1816.0,2892.0,3621.0,4048.0,3813.0,4222.0,3936.0,4949.0,4478.0,4430.0
88,강원특별자치도,강릉시,하슬라아트월드,내국인,369472,369472,35269.0,31680.0,13819.0,22033.0,30378.0,28879.0,36720.0,53200.0,27700.0,35962.0,26321.0,27511.0
89,강원특별자치도,강릉시,환희컵박물관,내국인,38388,38388,2814.0,2050.0,1314.0,2279.0,3783.0,3559.0,3276.0,4387.0,3384.0,3708.0,4076.0,3758.0
90,강원특별자치도,동해시,도째비골 스카이밸리,내국인,365912,365912,28936.0,24181.0,9063.0,22136.0,34993.0,36006.0,37739.0,45983.0,32047.0,45091.0,27115.0,22622.0
91,강원특별자치도,동해시,망상오토캠핑리조트,내국인,176166,176166,9762.0,8323.0,4272.0,9954.0,15985.0,17257.0,24686.0,30798.0,15870.0,16200.0,10873.0,12186.0
92,강원특별자치도,동해시,무릉계곡,내국인,445024,445024,19539.0,18644.0,13069.0,37660.0,47905.0,47697.0,56753.0,51669.0,32462.0,70038.0,39214.0,10374.0
93,강원특별자치도,동해시,무릉별유천지,내국인,138907,138907,8475.0,5951.0,2529.0,5837.0,12190.0,19200.0,14354.0,16324.0,15532.0,21736.0,11858.0,4921.0
94,강원특별자치도,동해시,약천온천,내국인,32015,32015,3261.0,1416.0,1911.0,2105.0,2593.0,2451.0,2199.0,2142.0,2341.0,3288.0,3433.0,4875.0
95,강원특별자치도,동해시,천곡황금박쥐동굴,내국인,161354,161354,9954.0,10445.0,3796.0,6953.0,13052.0,16346.0,24426.0,33655.0,11446.0,15619.0,8547.0,7115.0
96,강원특별자치도,태백시,365세이프타운,내국인,68591,68591,3799.0,3061.0,1193.0,2949.0,7232.0,5384.0,6909.0,12024.0,6158.0,8725.0,6798.0,4359.0
97,강원특별자치도,태백시,석탄박물관,내국인,40470,40470,2632.0,1954.0,989.0,1830.0,3125.0,3092.0,5620.0,7538.0,3089.0,5412.0,2587.0,2602.0
98,강원특별자치도,태백시,오투리조트내 골프장,내국인,78567,78567,0.0,0.0,2277.0,9232.0,12666.0,11665.0,11747.0,10913.0,4721.0,8553.0,6505.0,288.0
99,강원특별자치도,태백시,오투리조트내 스키장,내국인,25739,25739,15051.0,5869.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4819.0
100,강원특별자치도,태백시,용연동굴,내국인,34224,34224,1697.0,1366.0,652.0,963.0,2287.0,3200.0,7001.0,8820.0,2158.0,3078.0,2104.0,898.0
101,강원특별자치도,태백시,태백고생대자연사박물관,내국인,37165,37165,2162.0,1853.0,1233.0,1521.0,3110.0,2885.0,5479.0,6166.0,2746.0,4469.0,3567.0,1974.0
102,강원특별자치도,태백시,태백고원자연휴양림,내국인,4378,4378,0.0,0.0,0.0,0.0,0.0,468.0,725.0,705.0,544.0,968.0,461.0,507.0
103,강원특별자치도,태백시,태백산국립공원,내국인,343167,343167,43626.0,35125.0,13104.0,14142.0,24689.0,32902.0,31042.0,49536.0,35672.0,32802.0,14029.0,16498.0
104,강원특별자치도,태백시,태백체험공원,내국인,11893,11893,1541.0,1327.0,952.0,479.0,930.0,884.0,780.0,1368.0,1267.0,1321.0,566.0,478.0
105,강원특별자치도,태백시,통리탄탄파크&오로라파크,내국인,40406,40406,3471.0,2511.0,1225.0,2245.0,3703.0,3411.0,5702.0,7169.0,3133.0,4527.0,2070.0,1239.0
106,강원특별자치도,속초시,국립산악박물관,내국인,77608,77608,5310.0,0.0,3158.0,4556.0,7268.0,7452.0,9679.0,12142.0,4288.0,9027.0,6250.0,8478.0
107,강원특별자치도,속초시,석봉도자기미술관,내국인,5375,5375,659.0,349.0,299.0,192.0,459.0,545.0,441.0,973.0,347.0,220.0,386.0,505.0
108,강원특별자치도,속초시,설악동자동차 야영장,내국인,55543,55543,2826.0,2562.0,2094.0,4469.0,8730.0,6528.0,3952.0,4672.0,7444.0,4848.0,5108.0,2310.0
109,강원특별자치도,속초시,설악산국립공원(설악동),내국인,1586090,1586090,111432.0,82106.0,54800.0,88068.0,124750.0,100428.0,107879.0,120926.0,257956.0,217676.0,258009.0,62060.0
110,강원특별자치도,속초시,설악산자생식물원,내국인,97836,97836,2899.0,2928.0,3162.0,9774.0,14572.0,12396.0,10358.0,10933.0,10188.0,11426.0,6979.0,2221.0
111,강원특별자치도,속초시,설악워터피아,내국인,376878,376878,18610.0,20018.0,4303.0,14655.0,28031.0,42093.0,56103.0,90512.0,26269.0,22389.0,18030.0,35865.0
112,강원특별자치도,속초시,속초시박물관,내국인,131682,131682,6293.0,9835.0,4080.0,8090.0,16922.0,13888.0,14126.0,15186.0,11247.0,12573.0,9283.0,10159.0
113,강원특별자치도,속초시,속초시청소년수련관,내국인,764,764,0.0,0.0,0.0,0.0,0.0,0.0,188.0,277.0,103.0,128.0,68.0,0.0
114,강원특별자치도,속초시,속초해변 국민여가 제1캠핑장,내국인,17760,17760,0.0,0.0,0.0,1586.0,2041.0,1843.0,3358.0,4094.0,1925.0,2036.0,877.0,0.0
115,강원특별자치도,속초시,속초해수욕장,내국인,3072636,3072636,132842.0,121852.0,100689.0,238941.0,308728.0,290646.0,431229.0,497515.0,246202.0,269696.0,204448.0,229848.0
116,강원특별자치도,속초시,아바이마을(갯배),내국인,711585,711585,42284.0,58475.0,28631.0,28631.0,68751.0,77163.0,74746.0,98586.0,56865.0,79116.0,55798.0,42539.0
117,강원특별자치도,속초시,얼라이브하트,내국인,106078,106078,7958.0,8159.0,3494.0,5525.0,9493.0,9854.0,12775.0,16000.0,7398.0,11810.0,6214.0,7398.0
118,강원특별자치도,속초시,엑스포유람선,내국인,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
119,강원특별자치도,속초시,엑스포타워,내국인,108312,108312,7817.0,8181.0,4078.0,6269.0,9554.0,10333.0,10475.0,14990.0,8061.0,11947.0,7735.0,8872.0
120,강원특별자치도,속초시,영랑호CC,내국인,101652,101652,2694.0,5019.0,6522.0,8819.0,10497.0,9821.0,10108.0,9780.0,8538.0,13190.0,11168.0,5496.0
121,강원특별자치도,속초시,척산온천,내국인,43063,43063,3172.0,2128.0,1371.0,2339.0,3485.0,3869.0,3154.0,4039.0,3276.0,7041.0,3845.0,5344.0
122,강원특별자치도,속초시,척산온천휴양촌,내국인,206559,206559,16751.0,13726.0,9680.0,12670.0,16556.0,14626.0,15530.0,20262.0,15070.0,26533.0,19305.0,25850.0
123,강원특별자치도,속초시,테디베어팜,내국인,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
