,Unnamed: 0,시도,군구,관광지,내/외국인,총계(2022.01 ~ 2022.12),인원계,2022년 01월,2022년 02월,2022년 03월,2022년 04월,2022년 05월,2022년 06월,2022년 07월,2022년 08월,2022년 09월,2022년 10월,2022년 11월,2022년 12월,image_url,category
21,55,강원특별자치도,원주시,치악산국립공원(구룡),내국인,561375,561375,27640.0,30071.0,27843.0,40071.0,54298.0,43162.0,43626.0,49746.0,54516.0,101021.0,57909.0,31472.0,https://gwpa.kr/upload/2022/0620/202206201655718481210009.jpg,공영주차장
22,56,강원특별자치도,원주시,치악산국립공원(금대),내국인,181622,181622,9066.0,9104.0,11190.0,15281.0,15512.0,16320.0,20723.0,25642.0,16336.0,17842.0,14220.0,10386.0,https://www.kkday.com/ko/blog/wp-content/uploads/gangchon_rail_bike_1.jpg,공원관리운영
23,64,강원특별자치도,원주시,한솔뮤지엄,내국인,237838,237838,14170.0,13162.0,10355.0,18724.0,27126.0,22562.0,24878.0,29016.0,23789.0,12918.0,27077.0,14061.0,https://gugog.ticketplay.zone/upload/cont/2022/0825/202208251661395132718004.jpg,전시관
24,67,강원특별자치도,강릉시,강릉솔향수목원,내국인,169762,169762,7008.0,6377.0,6742.0,18045.0,23669.0,18173.0,15430.0,16397.0,16935.0,23348.0,13092.0,4546.0,https://tourdb.gwd.go.kr/img/1024/additional/2016/01/11/AH0003_I_01.JPG,"수목원,식물원"
25,70,강원특별자치도,강릉시,강릉정동진레일바이크,내국인,236884,236884,17052.0,16118.0,9434.0,20080.0,26970.0,24230.0,24610.0,28232.0,21594.0,24418.0,17700.0,6446.0,https://sooperang.or.kr/com/fm/getImage.do?attchFileMsterId=9851,체험여행
26,72,강원특별자치도,강릉시,대관령자연휴양림,내국인,144877,144877,9553.0,8628.0,5577.0,8977.0,15591.0,15441.0,17780.0,20109.0,12908.0,15390.0,8377.0,6546.0,https://mblogthumb-phinf.pstatic.net/MjAxODA0MThfMjc5/MDAxNTI0MDE3NDk2Mzk4.F14M-UfERVj4AGAOweYG0iHOUf0BX3rjONRlpR49OVAg.qsStI_HC_2gccxDLjOw5KrLB7YfKtinf-pCMZ0hMXJog.JPEG.parksb44/%EB%82%A8%EC%9D%B4%EC%84%AC_%284%29.jpg?type=w800,자연휴양림
27,75,강원특별자치도,강릉시,메이플비치골프장,내국인,101954,101954,4958.0,4100.0,7315.0,8700.0,11000.0,10000.0,11054.0,10690.0,10215.0,8532.0,9193.0,6197.0,https://static.kimcaddie.com/media/upload/cc/504%EB%9D%BC%EB%8D%B0%EB%82%98GC/1614063446.479282.jpg,골프장
28,79,강원특별자치도,강릉시,썬크루즈조각공원,내국인,196995,196995,14764.0,14493.0,6352.0,13130.0,19481.0,18447.0,19109.0,25403.0,16490.0,22707.0,13708.0,12911.0,https://mblogthumb-phinf.pstatic.net/MjAyMDA1MjRfMjE2/MDAxNTkwMzI0NzI0Nzcz.vKGypbUcdMVuNIrfdcT5G21Q5aTpSR4cU-yl8vChFYYg.2QGLWilH1s1QmaWnAlZCMkDy9UxYihQuAvJgUdHfWzkg.JPEG.db7912/P20200411_145938353_849257C6-2272-4A0D-B7D0-3F7720BC689B.JPG?type=w800,도시근린공원
29,81,강원특별자치도,강릉시,오죽헌.시립박물관,내국인,642737,642737,53352.0,48114.0,24248.0,47971.0,65916.0,61494.0,58181.0,71022.0,48501.0,73812.0,51263.0,38863.0,https://www.gn.go.kr/site/museum/images/main/visual_img03.jpg,공영주차장
30,83,강원특별자치도,강릉시,정동심곡바다부채길,내국인,110754,110754,0.0,0.0,0.0,0.0,0.0,0.0,8084.0,15957.0,17856.0,34569.0,23668.0,10620.0,https://searoad.gtdc.or.kr/img/intro1.jpg,"관광,명소"
31,84,강원특별자치도,강릉시,정동진역,내국인,235636,235636,25678.0,20717.0,8741.0,16647.0,23973.0,24702.0,19800.0,24650.0,15400.0,20899.0,15305.0,19124.0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Jeongdongjin_stn_info.jpg/300px-Jeongdongjin_stn_info.jpg,KTX정차역
32,88,강원특별자치도,강릉시,하슬라아트월드,내국인,369472,369472,35269.0,31680.0,13819.0,22033.0,30378.0,28879.0,36720.0,53200.0,27700.0,35962.0,26321.0,27511.0,https://contents.sixshop.com/uploadedFiles/70221/default/image_1550130542551.jpg,테마파크
