,광역지자체명,기초지자체명,광역지자체 방문자 수,기초지자체 방문자 수,광역지자체 지출액,기초지자체 지출액,인당 지출액
132,부산광역시,연제구,110596619.0,21672228.5,3040249793.0,154572222.0,7.132271699700841
133,부산광역시,수영구,110596619.0,29342722.0,3040249793.0,161316798.0,5.497676664080449
134,부산광역시,사상구,110596619.0,20887071.5,3040249793.0,112533187.0,5.387695781095976
135,부산광역시,기장군,110596619.0,35340369.0,3040249793.0,371739056.0,10.518822143594482
136,부산광역시,동구,110596619.0,20816499.5,3040249793.0,95278588.0,4.57707060690007
137,부산광역시,북구,110596619.0,17631027.5,3040249793.0,197991915.0,11.229743416825821
138,부산광역시,서구,110596619.0,15474611.5,3040249793.0,46680068.0,3.0165583155350943
139,부산광역시,중구,110596619.0,27124979.0,3040249793.0,173805417.0,6.407577937664025
140,서울특별시,종로구,411358139.5,96218838.0,11979108450.0,576724315.0,5.993881520373381
141,서울특별시,강서구,411358139.5,60717678.0,11979108450.0,795895336.0,13.108131967760691
142,서울특별시,용산구,411358139.5,68240757.0,11979108450.0,519600445.0,7.614224516882191
143,서울특별시,성동구,411358139.5,45208542.0,11979108450.0,333972947.0,7.387385928084122
144,서울특별시,광진구,411358139.5,48414212.0,11979108450.0,277360802.0,5.728912865503212
145,서울특별시,동대문구,411358139.5,38464980.5,11979108450.0,196769720.0,5.115554913644114
146,서울특별시,중랑구,411358139.5,26040821.5,11979108450.0,128576731.0,4.937506714217906
147,서울특별시,성북구,411358139.5,35891551.5,11979108450.0,168481278.0,4.6941765111491485
148,서울특별시,강북구,411358139.5,24956678.0,11979108450.0,145649382.0,5.836088521076403
149,서울특별시,도봉구,411358139.5,21383145.0,11979108450.0,105643585.0,4.940507348194103
150,서울특별시,노원구,411358139.5,41619860.0,11979108450.0,252849402.0,6.0752102962383825
151,서울특별시,은평구,411358139.5,27305898.5,11979108450.0,165609424.0,6.06496885645422
152,서울특별시,서대문구,411358139.5,53861399.5,11979108450.0,222540372.0,4.131722793426487
153,서울특별시,마포구,411358139.5,85585487.0,11979108450.0,587387514.0,6.863167279751531
154,서울특별시,양천구,411358139.5,29857751.0,11979108450.0,188744434.0,6.321455155815319
155,서울특별시,구로구,411358139.5,44198227.5,11979108450.0,259917867.0,5.880730556445957
156,서울특별시,금천구,411358139.5,23696923.5,11979108450.0,282701853.0,11.929896849268218
157,서울특별시,영등포구,411358139.5,83323964.5,11979108450.0,810763900.0,9.730260734293314
158,서울특별시,동작구,411358139.5,39253054.5,11979108450.0,174562143.0,4.447097053300655
159,서울특별시,관악구,411358139.5,42982355.0,11979108450.0,243291744.0,5.660270220186865
160,서울특별시,서초구,411358139.5,109339961.0,11979108450.0,1186850397.0,10.854680998102788
161,서울특별시,강남구,411358139.5,159062814.0,11979108450.0,1814299450.0,11.406182277147442
162,서울특별시,송파구,411358139.5,92329718.5,11979108450.0,847299781.0,9.176891197821641
163,서울특별시,강동구,411358139.5,36696979.0,11979108450.0,211978059.0,5.776444404320039
164,서울특별시,중구,411358139.5,96389767.0,11979108450.0,1481637570.0,15.37131602361898
165,세종특별자치시,세종특별자치시,22528429.0,24399977.0,100519228.0,100519228.0,4.119644375074616
166,울산광역시,남구,37422062.0,32984740.5,553572977.0,235260198.0,7.132394993375801
167,울산광역시,동구,37422062.0,10825781.0,553572977.0,47342948.0,4.373166979823442
168,울산광역시,북구,37422062.0,18300894.5,553572977.0,95066443.0,5.1946336830694255
169,울산광역시,울주군,37422062.0,26969779.0,553572977.0,114061376.0,4.229229167951283
170,울산광역시,중구,37422062.0,18281196.0,553572977.0,61842013.0,3.382820959854049
171,인천광역시,동구,124703523.0,7066712.5,1754787966.0,52878319.0,7.48273245869278
172,인천광역시,미추홀구,124703523.0,32984620.0,1754787966.0,239707583.0,7.267253131914207
173,인천광역시,연수구,124703523.0,36024149.5,1754787966.0,307262158.0,8.52933829846559
174,인천광역시,남동구,124703523.0,41818147.5,1754787966.0,237603565.0,5.681829043240139
175,인천광역시,부평구,124703523.0,37260241.0,1754787966.0,191022000.0,5.126697919103637
176,인천광역시,계양구,124703523.0,20967593.5,1754787966.0,100629006.0,4.799263492016859
177,인천광역시,강화군,124703523.0,15559183.0,1754787966.0,62808618.0,4.036755528873206
178,인천광역시,옹진군,124703523.0,5856540.0,1754787966.0,15529059.0,2.651575674374289
179,인천광역시,서구,124703523.0,38675421.0,1754787966.0,187024212.0,4.835738232817168
180,인천광역시,중구,124703523.0,43967121.0,1754787966.0,360323448.0,8.195293205575139
181,전남,목포시,108910185.5,19362510.0,958312468.0,123490374.0,6.377808145741436
182,전남,여수시,108910185.5,24943129.0,958312468.0,189224811.0,7.586249944824485
183,전남,순천시,108910185.5,20396129.0,958312468.0,120381011.0,5.902149912858465
184,전남,나주시,108910185.5,13155546.0,958312468.0,55296335.0,4.2032717608223935
185,전남,광양시,108910185.5,11168846.0,958312468.0,61693121.0,5.523679080184291
186,전남,담양군,108910185.5,12684219.5,958312468.0,52276313.0,4.121366158950497
187,전남,곡성군,108910185.5,4895552.0,958312468.0,17758759.0,3.6275294389682715
188,전남,구례군,108910185.5,5161883.5,958312468.0,10443820.0,2.023257595798123
189,전남,고흥군,108910185.5,6554445.5,958312468.0,13747524.0,2.097435091954003
190,전남,보성군,108910185.5,6032647.0,958312468.0,17559817.0,2.910798029455395
191,전남,화순군,108910185.5,10158076.0,958312468.0,39363638.0,3.87510764833813
192,전남,장흥군,108910185.5,4384838.5,958312468.0,14624058.0,3.3351417617775434
193,전남,강진군,108910185.5,4691870.5,958312468.0,14592756.0,3.1102213925128583
194,전남,해남군,108910185.5,7332570.5,958312468.0,25086032.0,3.42117842576488
195,전남,영암군,108910185.5,8043175.5,958312468.0,28126478.0,3.496936999571873
196,전남,무안군,108910185.5,11430250.5,958312468.0,75432633.0,6.5993858139854416
197,전남,함평군,108910185.5,5302266.5,958312468.0,15922449.0,3.0029514736763985
198,전남,영광군,108910185.5,6366027.5,958312468.0,19299394.0,3.031622782025368
199,전남,장성군,108910185.5,8288421.5,958312468.0,22844009.0,2.7561350493577095
200,전남,완도군,108910185.5,5186210.5,958312468.0,11746585.0,2.2649649488774126
201,전남,진도군,108910185.5,4498649.0,958312468.0,19959780.0,4.436838704242096
202,전남,신안군,108910185.5,5986836.5,958312468.0,9442772.0,1.5772557009031398
203,전북,전주시 완산구,78085336.0,30172716.5,793514936.0,219978588.0,7.290645772646954
204,전북,전주시 덕진구,78085336.0,27121381.0,793514936.0,124645410.0,4.595835661908219
205,전북,군산시,78085336.0,19674557.5,793514936.0,110600044.0,5.621475552880923
206,전북,익산시,78085336.0,17202860.0,793514936.0,70852215.0,4.118629983619003
207,전북,정읍시,78085336.0,9387060.0,793514936.0,32213781.0,3.4317220727256457
208,전북,남원시,78085336.0,8520401.5,793514936.0,37294988.0,4.377139739248204
209,전북,김제시,78085336.0,9409055.5,793514936.0,35893378.0,3.814769505823406
210,전북,완주군,78085336.0,16357882.0,793514936.0,46474585.0,2.8411126208148465
211,전북,진안군,78085336.0,4178547.0,793514936.0,8743112.0,2.0923809161414244
212,전북,무주군,78085336.0,6715498.5,793514936.0,21694511.0,3.2305138628204593
213,전북,장수군,78085336.0,2544399.5,793514936.0,6161040.0,2.421412203547438
214,전북,임실군,78085336.0,6028116.0,793514936.0,15313467.0,2.540340464582964
